,자치구,행정동,면적,개소,주차면수,거주인구,대중교통이용,사업체수,종사자수,총생활인구수,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택,상주인구,유출인구,유입인구,도소매,숙박 및 음식점,서비스업
112,성북구,안암동,1.33,559,7994,17118,18380.11415525114,1927,14353,26644.688729017857,1179,1209,214,1282,138,374023.98,1287860.27,1282333.89,457,472,247
113,성북구,보문동,0.56,396,3535,16712,13236.426940639269,1787,6720,17315.539091666666,988,2491,42,965,94,71086.93,728085.68,725505.02,494,160,153
114,성북구,정릉1동,0.44,209,6064,18197,11090.029680365296,1275,2752,14285.605906589744,577,4535,72,628,44,37985.11,461102.43,460016.96,297,117,180
115,성북구,정릉2동,1.17,570,7628,22911,9680.196347031964,1422,3344,19759.182980357138,923,3105,739,3401,43,57653.58,739646.66,737969.01,385,134,211
116,성북구,정릉3동,3.71,605,4300,16567,7222.36301369863,1042,5404,16776.63112872024,1537,756,1148,1860,58,122694.61,555035.24,553378.55,252,154,120
117,성북구,정릉4동,3.13,547,8622,24911,17053.50913242009,1524,5018,18431.118180572685,590,5173,876,2303,51,97300.56999999999,674645.5599999999,671898.17,383,171,206
118,성북구,길음1동,0.79,96,13513,35000,33762.54109589041,1583,4419,36783.902106249996,97,11470,37,234,21,201794.9,921813.06,919486.69,446,176,312
119,성북구,길음2동,0.58,148,12483,21728,9902.764840182648,1696,5554,18971.171137797617,519,5152,32,113,39,136916.07,946310.35,944592.43,698,242,230
120,성북구,월곡1동,0.81,390,9587,26169,10103.949771689498,1841,5848,24706.251243303574,1021,6228,93,882,43,79978.7,1045445.46,1044187.96,504,181,284
121,성북구,월곡2동,1.36,608,8437,19739,21910.68493150685,2162,11083,23267.87702291667,1213,3384,172,815,88,135287.34,949323.9400000001,946757.11,511,331,259
122,성북구,장위1동,0.7,753,4431,24082,8284.477168949772,1532,3104,22545.188991666666,1482,90,462,4010,90,86790.63,678211.21,676776.3099999999,403,141,150
123,성북구,장위2동,0.67,496,3079,13622,13854.901826484018,1538,3865,12181.928386772239,1751,347,196,1731,95,34137.28,504156.73,504472.37,358,154,114
124,성북구,장위3동,0.65,125,6574,15868,5815.623287671233,877,2429,8195.252368304458,909,4619,199,327,24,13220.199999999999,310088.05,309609.4,209,71,110
125,성북구,성북동,2.86,1052,5775,16889,13126.454337899544,1790,6288,21029.107829464287,2391,630,769,1729,86,125577.56,970842.54,969591.73,469,221,302
126,성북구,삼선동,0.92,647,8283,23044,52243.276255707766,2507,11157,26999.383751339286,2002,2897,284,1676,128,178058.19,1154766.33,1152614.16,692,454,391
127,성북구,동선동,0.73,612,6177,15870,16507.771689497717,2682,10483,25882.36026517857,1129,1086,400,1548,135,202367.82,1248693.02,1248178.27,603,686,450
128,성북구,종암동,1.46,825,13161,40111,17041.755707762557,2858,8433,41363.27942544643,1419,8072,328,2296,120,261830.07,1218611.74,1213863.91,744,337,399
129,성북구,석관동,1.73,724,9890,35315,28274.76484018265,3072,8770,27432.153897767854,2582,4830,99,2850,111,137213.42,853300.53,851737.92,772,392,316
130,강북구,번1동,0.66,1081,6575,18578,50944.86073059361,2486,10192,17819.496386458333,1672,880,86,1803,88,98677.4,962392.45,961443.79,655,387,312
