"동별(1)",동별(2),동별(3),2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02
"동별(1)",동별(2),동별(3),합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인
"동별(1)",동별(2),동별(3),소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자
"합계",중랑구,면목본동,33856,16676,17180,16396,16748,280,432,33853,16658,17195,16376,16766,282,429,33839,16632,17207,16349,16772,283,435
"합계",중랑구,면목3.8동,24617,12174,12443,11992,12196,182,247,24591,12162,12429,11976,12182,186,247,24813,12266,12547,12078,12303,188,244
"합계",중랑구,망우본동,35905,17705,18200,17559,17952,146,248,35968,17745,18223,17595,17972,150,251,35982,17740,18242,17585,17986,155,256
"합계",성북구,돈암1동,14474,6747,7727,6711,7658,36,69,14503,6756,7747,6720,7679,36,68,14512,6753,7759,6713,7691,40,68
"합계",성북구,돈암2동,23657,11174,12483,11133,12425,41,58,23663,11191,12472,11148,12416,43,56,23590,11151,12439,11108,12382,43,57
"합계",성북구,안암동,17118,8275,8843,7570,7427,705,1416,17037,8230,8807,7556,7418,674,1389,17094,8285,8809,7625,7471,660,1338
"합계",성북구,보문동,16712,7979,8733,7821,8501,158,232,16686,7954,8732,7796,8499,158,233,16702,7968,8734,7803,8500,165,234
"합계",성북구,정릉1동,18197,8670,9527,8590,9387,80,140,18185,8661,9524,8583,9386,78,138,18165,8656,9509,8573,9367,83,142
"합계",성북구,정릉2동,22911,11034,11877,10971,11716,63,161,22916,11050,11866,10985,11708,65,158,22901,11019,11882,10955,11720,64,162
"합계",성북구,정릉3동,16567,8106,8461,7511,7582,595,879,16590,8089,8501,7471,7584,618,917,16567,8127,8440,7540,7602,587,838
"합계",성북구,정릉4동,24911,11835,13076,11719,12712,116,364,24884,11813,13071,11697,12713,116,358,24865,11807,13058,11695,12720,112,338
