"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명 이상,1000명 이상
"동별(1)",동별(2),동별(3),사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
"동별(1)",동별(2),동별(3),소계,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",용산구,원효로1동,2634,738,12179,6557,5622,2174,3519,276,1770,118,1490,40,1134,19,1264,4,674,2,728,-,-,1,1600
"합계",용산구,한강로동,6669,1985,48562,28784,19778,5388,9080,709,4380,324,4211,140,4083,44,3200,45,7788,12,4316,3,2095,4,9409
"합계",용산구,한남동,3473,1414,21250,10640,10610,2704,4666,454,2872,191,2510,81,2318,23,1715,15,2514,1,375,2,1155,2,3125
"합계",성동구,왕십리2동,1232,502,2948,1409,1539,1100,1608,95,606,25,304,9,250,3,180,-,-,-,-,-,-,-,-
"합계",성동구,마장동,4030,1106,12518,8360,4158,3507,5676,390,2411,93,1168,22,571,13,921,3,478,1,340,1,953,-,-
"합계",성동구,사근동,1310,423,10537,4981,5556,1098,1809,135,830,53,693,12,359,4,261,3,367,-,-,3,1836,2,4382
"합계",성동구,행당1동,1578,602,9587,4400,5187,1315,2157,145,932,72,938,34,1091,5,330,5,898,1,311,-,-,1,2930
"합계",성동구,행당2동,1031,486,2412,1015,1397,934,1235,66,419,20,251,6,161,5,346,-,-,-,-,-,-,-,-
"합계",성동구,응봉동,682,288,1162,536,626,657,791,17,113,5,68,1,27,2,163,-,-,-,-,-,-,-,-
"합계",성동구,금호1가동,927,398,2416,1048,1368,818,1113,69,427,27,369,10,283,3,224,-,-,-,-,-,-,-,-
"합계",성동구,금호4가동,999,449,2294,1131,1163,912,1303,56,366,25,318,3,87,3,220,-,-,-,-,-,-,-,-
"합계",성동구,성수1가1동,2982,901,14473,8285,6188,2412,3688,309,1963,160,2108,70,2101,19,1317,9,1405,1,329,1,522,1,1040
"합계",성동구,성수1가2동,4784,1377,26199,16233,9966,3584,5835,657,4222,321,4198,162,4819,36,2353,21,3742,3,1030,-,-,-,-
"합계",성동구,성수2가1동,3557,1017,20402,12458,7944,2732,4254,439,2804,233,3029,104,3036,32,2321,13,1986,2,742,1,638,1,1592
"합계",성동구,성수2가3동,8853,2172,63385,38143,25242,6448,11219,1179,7632,686,9129,374,11096,105,7206,48,7641,6,2133,4,2270,3,5059
"합계",성동구,송정동,1005,301,2879,1645,1234,903,1281,65,393,22,266,8,236,5,304,2,399,-,-,-,-,-,-
"합계",성동구,용답동,2497,712,12834,8693,4141,2113,3728,273,1682,54,713,36,1011,9,626,6,1203,1,458,5,3413,-,-
"합계",성동구,왕십리도선동,3234,1302,11495,5284,6211,2744,4315,319,1982,104,1315,42,1314,18,1131,6,1105,1,333,-,-,-,-
"합계",성동구,금호2.3가동,1458,677,2963,1286,1677,1347,1843,80,511,22,269,7,199,2,141,-,-,-,-,-,-,-,-
"합계",성동구,옥수동,1506,734,4717,2071,2646,1333,1911,108,725,42,540,14,345,6,424,1,121,2,651,-,-,-,-
"합계",광진구,화양동,3072,1041,16195,8260,7935,2564,4079,363,2251,88,1121,33,981,15,1097,6,870,-,-,1,659,2,5137
"합계",광진구,군자동,2389,847,9834,5547,4287,2083,3108,186,1167,66,866,32,914,13,805,6,990,2,702,-,-,1,1282
