"동별(1)",동별(2),동별(3),2020,2020,2020,2020,2020
"동별(1)",동별(2),동별(3),종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
"동별(1)",동별(2),동별(3),단독주택,아파트,연립주택,다세대주택,비거주용건물내주택
"서울시",강북구,인수동,1817,670,1089,6427,125
"서울시",도봉구,쌍문1동,948,1971,753,3811,47
"서울시",도봉구,쌍문2동,645,2973,270,2533,52
"서울시",도봉구,쌍문3동,814,1930,171,2055,52
"서울시",도봉구,쌍문4동,91,6120,88,525,11
"서울시",도봉구,방학1동,1070,4495,352,2314,100
"서울시",도봉구,방학2동,1072,234,845,3907,91
"서울시",도봉구,방학3동,65,9237,45,337,14
"서울시",도봉구,창1동,399,7314,293,976,42
"서울시",도봉구,창2동,665,2942,343,4788,60
"서울시",도봉구,창3동,1083,1163,120,1571,40
"서울시",도봉구,창4동,X,10045,48,38,X
"서울시",도봉구,창5동,146,6948,112,1428,47
"서울시",도봉구,도봉1동,1140,1107,659,3922,136
"서울시",도봉구,도봉2동,495,8553,45,415,34
"서울시",노원구,월계1동,638,4503,239,2124,64
"서울시",노원구,월계2동,131,10866,173,294,13
"서울시",노원구,월계3동,45,12617,X,16,10
"서울시",노원구,공릉2동,538,10880,325,1122,58
"서울시",노원구,하계1동,152,9283,440,560,31
"서울시",노원구,하계2동,X,8160,X,X,X
"서울시",노원구,중계본동,767,6158,192,933,38
"서울시",노원구,중계1동,X,8733,X,X,6
"서울시",노원구,중계4동,95,7317,25,230,39
"서울시",노원구,상계1동,326,10902,418,1686,78
"서울시",노원구,상계2동,674,3908,200,1181,79
"서울시",노원구,상계5동,1044,4133,202,1873,95
"서울시",노원구,상계8동,X,9090,X,X,X
"서울시",노원구,상계9동,X,8258,X,X,X
"서울시",노원구,상계10동,X,6422,X,X,X
"서울시",노원구,상계3.4동,1410,5308,871,1647,56
"서울시",노원구,상계6.7동,X,13647,X,X,X
"서울시",노원구,중계2.3동,X,14245,56,X,X
"서울시",노원구,공릉1동,794,9072,307,3282,127
"서울시",은평구,녹번동,1058,5206,540,5653,89
"서울시",은평구,불광1동,1113,7280,489,4643,76
"서울시",은평구,갈현1동,1482,928,493,4315,112
